Application Name,Assessment Name,Assessment Compliance Status,End Time,Overall RTO,Overall RPO,Target RTO,Target RPO,Application Compliance Status,Resiliency Score,Last Assessed,Application Tier,Region
ecs-test-multi-region,run-1,PolicyBreached,10/21/22 15:12,2592631,0,30,30,PolicyBreached,0,10/21/22 15:12,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,2/3/23 16:45,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,2/3/23 16:47,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,2/3/23 16:52,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,2/3/23 16:54,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,3/16/23 19:58,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyBreached,3/20/23 18:12,2592001,2592001,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
github-actions,GitHub-actions-assessment,PolicyMet,3/20/23 18:14,300,0,300,300,PolicyMet,0.5,3/20/23 18:14,MissionCritical,us-east-1
myServerlessApp,run-1,PolicyBreached,9/19/22 19:40,5187002,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,run-2,PolicyBreached,9/19/22 19:52,2592131,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,run-3,PolicyBreached,9/19/22 20:57,2592131,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 4:23,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 4:25,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:16,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:20,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,11/3/22 14:46,2596501,2592001,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyMet,11/3/22 14:52,4800,300,300,300,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,Assessment-report-pa477a8i8h,PolicyBreached,12/5/22 16:28,7783803,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
myServerlessApp,GitHub-actions-assessment,PolicyBreached,1/3/23 22:53,2592001,2592001,30,30,PolicyBreached,0.15,2/3/23 16:37,MissionCritical,us-east-1
